Term,Abbreviation / Acronym / Definition,Abbreviation,Definition,Category,Tags,Source,Contact,Comments,Approval Status,Rating (0-5),Synonyms,ID,Top Filter
".dgn","[""Definition""]","DGN","Native Bentley Systems CAD file format.","[""Enterprise Architecture""]","[""CAD""]","BIM Exchange Information Requirements","Abel Maciel",,"Approved",,,"1275","Number"
"23",,,,,,,,,"Pending",,,"1769",
"24",,,,,,,,,"Pending",,,"1771",
"25 Year Environment Plan","[""Definition""]",,"Sets out the government’s plan to leave the environment in a better state than what has been inherited.","[""Gov""]",,,,,"Approved",,,"5","Number"
"2D Model","[""Abbreviation""]","M2",,"[""Enterprise Architecture""]","[""CAD""]","BIM Exchange Information Requirements","Abel Maciel",,"Approved",,,"1295","Number"
"3D Model","[""Abbreviation""]","M3",,"[""Enterprise Architecture""]","[""CAD""]","BIM Exchange Information Requirements","Abel Maciel",,"Approved",,,"1296","Number"
"Acceptance","[""Definition""]",,"Where an organisation reviews an internally or externally produced document and deems it satisfactory (e.g. where EWR Co accepts the Construction Phase Plan).","[""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]","H&S Import","Karen Campbell",,"Approved",,,"1367","A"
"Access Agreement","[""Definition""]",,"An agreement regulated under the Railway Act 1993 setting out the terms and conditions under which companies/operators obtain access to railway track, stations and certain types operators obtain access to railway track, stations and certain types of depots","[""Industry""]",,,,,"Approved",,,"6","A"
"Access Charge","[""Definition""]",,"The charge paid by railway operators for access to rail facilities, that are the subject of an access agreement","[""Industry""]",,,,,"Approved",,,"7","A"
"Access Details and Site Risks","[""Abbreviation""]","ADSR",,"[""Environment""]","[""Survey""]",,"Karen Straw",,"Approved",,,"1757","A"
"Accident","[""Definition""]",,"An unintended event, or series of events, that results in death, injury, loss of system or service, property loss or environmental damage.","[""Digital Railway""]",,,"Karen Campbell",,"Approved",,,"8","A"
"Accident","[""Definition""]",,"An unplanned, uncontrolled event that results in ill health, physical injury or loss of life.","[""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]","H&S Import","Karen Campbell;Graeme Cox",,"Approved",,,"1527","A"
"Accountability ","[""Definition""]",,"Ultimate responsibility relating to the person who is held to account if something is not done, is not done properly, does not work or, fails to achieve its objective.","[""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]","H&S Import","Karen Campbell",,"Approved",,,"1368","A"
"Accounting Officer","[""Definition""]","AO","The individual responsible for the security of the organisation.  ","[""Information Technology""]","[""Information Security""]","Business Continuity and Disaster Recovery - Information Security Policy","Philippe Berthelot",,"Approved",,,"1747","A"
"Acoustic Equivalent","[""Abbreviation""]","AE",,"[""Environment""]","[""IMS"",""Survey""]",,"Karen Straw",,"Approved",,,"1169","A"
"Action Owner","[""Definition""]",,"Responsible for the implementation of corrective actions identified within the agreed timeframe.","[""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]",,"Karen Campbell",,"Approved",,,"1369","A"
"Active Monitoring","[""Definition""]",,"Checking to ensure that standards are met and that the workplace is in fact safe and free of health risks before any untoward event takes place.","[""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]",,"Karen Campbell",,"Approved",,,"1370","A"
"Active Risk Manager","[""Acronym""]","ARM","The proprietary product for the systematic management of risk and assumptions.","[""Industry""]",,,,,"Approved",,,"9","A"
"Activity","[""Definition""]",,"A set of Actions that form part or all of a process.","[""EWR""]",,"EWR EA Ontology",,,"Approved",,,"10","A"
"Actor(s)","[""Definition""]",,"In the context of the DRP, all parties that are directly, or through contractual arrangements, involved in the application of CSM-RA Regulation, pursuant to Article 5(2).","[""Digital Railway"",""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]","EWR System Safety Plan","Graeme Cox",,"Approved",,,"11","A"
"Agency Worker","[""Definition""]",,"Temporary worker hired through an agency, or those working through an umbrella company.","[""EWR""]","[""Health & Safety""]",,"Karen Campbell",,"Approved",,,"1371","A"
"Agglomeration","[""Definition""]",,"Where the increased density of economic activity in an area increases productivity. Clustering benefits can occur either within or across industries. Density can be affected by physical proximity or where there is a reduction in travel time.","[""Industry""]",,,,,"Approved",,,"13","A"
"Agricultural Land Classification","[""Abbreviation""]","ALC",,"[""Environment""]","[""IMS"",""Survey""]",,"Karen Straw",,"Approved",,,"1172","A"
"All Level Crossing Risk Model","[""Definition""]","ALCRM","Industry system for assessing LX risk","[""Industry""]",,,,,"Approved",,,"14","A"
"Alliance Leadership Team","[""Definition""]","ALT","ALT partnered with Network Rail to deliver the Western Section infrastructure","[""EWR""]",,,,,"Approved",,,"15","A"
"Alliance Management Team","[""Definition""]","AMT","Alliance team - Atkins Laing O'Rourke, Volker Rail, Network Rail","[""EWR""]",,,,,"Approved",,,"16","A"
"Ancient Woodland","[""Definition""]",,"Ancient woods are areas of woodland that have persisted since 1600 in England and Wales, and 1750 in Scotland.
Specific guidance within the National Planning Policy Framework applies to such areas.","[""Environment""]",,,,,"Approved",,,"17","A"
"Annual Exceedance Probability","[""Definition""]","AEP","The probability of a flood event occurring in any year, expressed as a percentage.","[""Industry"",""Environment""]","[""IMS"",""Survey""]",,"Karen Straw",,"Approved",,,"18","A"
"Annual Health and Safety Plan ","[""Abbreviation""]","AHSP",,"[""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]","H&S Import","Karen Campbell",,"Approved",,,"1365","A"
"Anticipated Final Cost","[""Definition""]","AFC","The early estimate of a project’s Anticipated Final Cost is important in determining both the actual and perceived success of the project. 
Early estimates are also inherently uncertain and can result in the project cost being misrepresented and misunderstood.","[""Industry""]",,,,,"Approved",,,"19","A"
"Applicant Supplier Rating Worksheet","[""Definition""]",,"Form used to formally record the assessment of responses provided by the Supplier on the Supplier pre-qualification questionnaire.","[""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]","H&S Import","Karen Campbell","In review with H&S Team","Approved",,,"1366","A"
"Application","[""Definition""]",,"The process of applying a general (generic) system (or design) to a particular case. The case may be a specific geographic location or a particular type of train.","[""Digital Railway""]",,,,,"Approved",,,"20","A"
"Application Design","[""Definition""]",,"The process of applying a generic technology and/or equipment to particular situations on railway infrastructure and vehicles to achieve a defined requirement.","[""Digital Railway""]",,,,,"Approved",,,"21","A"
"Application Engineer","[""Definition""]",,"The engineer with responsibility for managing the configuration of GB equipment.","[""Digital Railway""]",,,,,"Approved",,,"22","A"
"Application Rule","[""Definition""]",,"A rule that influences the application design.","[""Digital Railway""]",,,,,"Approved",,,"23","A"
"Appointed Party","[""Definition""]","AP","Other consultants, sub-consultants to the lead appointed party, who is the provider of information pertaining works, goods, or services.","[""Enterprise Architecture""]","[""BIM - Management""]","BIM Exchange Information Requirements","Abel Maciel",,"Approved",,,"1300","A"
"Appointing Party","[""Definition""]",,"End client, Asset owner or similar. Receiver of information from appointed party pertaining to works, goods or services.","[""Enterprise Architecture""]","[""BIM - Management""]","BIM Exchange Information Requirements","Abel Maciel",,"Approved",,,"1301","A"
"Apportionment","[""Definition""]",,"A process whereby the Requirements for a system are sub-divided between the various items which comprise the system.","[""Digital Railway""]",,,,,"Approved",,,"24","A"
"Approval","[""Definition""]",,"The process of gaining Approved status from the requisite Authority that the product has fulfilled a set of predetermined conditions.","[""EWR""]","[""IMS""]",,"Quality",,"Approved",,,"25","A"
"Approval","[""Definition""]",,"Where an organisation reviews an internally or externally produced document and confirms that it meets the relevant requirements (e.g. where the Principal Contractor approves a Safe Systems of Work for construction activities).","[""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]","H&S Import","Karen Campbell",,"Approved",,,"1531","A"
"Approval in Principle","[""Definition""]","AIP","A document signed by the Technical Approval Authority, required before the details design may start.","[""Industry""]",,,,,"Approved",,,"26","A"
"Approved","[""Definition""]",,"The status given to a product when it has been deemed by the relevant authority as fit for the purpose for which it was designed.","[""Digital Railway""]",,,,,"Approved",,,"27","A"
"Approved Body","[""Abbreviation""]","ApBo",,"[""Industry""]",,"EWR Systems Safety Plan",,,"Approved",,,"28","A"
"Approved Code of Practice","[""Abbreviation"",""Acronym""]","ACOP","Approved Codes of Practice (ACOPs) are guidance with specific legal standing. ","[""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]",,"Karen Campbell","In review with H&S Team","Approved",,,"1364","A"
"Approved for Construction","[""Abbreviation""]","AFC","Is submitted after IDCs","[""Industry""]",,,,,"Approved",,,"29","A"
"Aquifer","[""Definition""]","AQ","A geological formation that is sufficiently porous and permeable to either support significant flow of groundwater or allow the abstraction of significant quantities of groundwater (such as at a borehole, well or spring).","[""Environment"",""Technical terms for statutory consultations""]","[""Survey"",""IMS""]",,"Karen Straw",,"Approved",,,"1113","A"
"Area of Control","[""Definition""]","AoC","The geographic extent to which a siginal box, control centre or management structure exrecises control of the network. (Provisional definition)","[""Digital Railway""]",,,,,"Approved",,,"30","A"
"Areas of Outstanding Natural Beauty","[""Definition""]","AONB","A designation of land protected by the Countryside and Rights of Way Act 2000 (CROW Act).  It protects the land to conserve and enhance its natural beauty.","[""Environment""]",,,,,"Approved",,,"31","A"
"Arial Earth Wire","[""Abbreviation""]","AEW",,"[""Electrical Engineering""]","[""Traction Power Engineering""]","Power Engineering Upload","Michael Bartley",,"Approved",,,"1660","A"
"Arms-Length Body","[""Definition""]","ALB","A specific category of public body that are administratively classified by the UK Government's Cabinet Office.","[""Gov"",""Environment""]","[""IMS"",""Survey""]",,"Karen Straw",,"Approved",,,"32","A"
"As Low As is Reasonably Practicable","[""Definition"",""Abbreviation""]","ALARP","‘ALARP’ is short for ‘as low as reasonably practicable’ (see also SFAIRP). ‘Reasonably practicable’ involves weighing a risk against the trouble, time and money needed to control it. The Health and Safety Executive expects to see the principle of ALARP applied to the management of workplace risks. ‘SFAIRP (So Far as is Reasonably Practicable) is the term most often used in the Health and Safety at Work, etc. Act and in Regulations. However ALARP can apply to all business risk. ALARP is the term used by risk specialists, and duty-holders are more likely to know it. In HSE’s view, the two terms are interchangeable except if you are drafting formal legal documents when you must use the correct legal phrase.","[""Digital Railway"",""Health, Wellbeing, Safety & Security""]","[""IMS""]",,"Karen Campbell;Simon Miller",,"Approved",,,"33","A"
"Assessment","[""Definition""]",,"An investigation undertaken in order to arrive at a judgement, based on evidence, of the suitability of a product.","[""Digital Railway""]",,,,,"Approved",,,"34","A"
"Assessment Body","[""Definition"",""Abbreviation""]","AsBo","The independent and competent external or internal individual, organisation or entity which undertakes investigation to provide a judgement based on evidence, of the suitability of a system to fulfil its safety requirements.","[""Digital Railway"",""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]","EWR System Safety Plan","Graeme Cox",,"Approved",,,"35","A"
"Asset","[""Definition""]",,"Any tangible or intangible item that adds value, or has potential to add value, to the company. 
Note: Although the asset portfolio is heavily reliant on fixed railway infrastructure assets, mobile assets (Rolling Stock, and train borne signalling equipment), intangible assets and infrastructure related specialist software assets are not specifically excluded.
This definition is derived from the generic ISO 55000 definition of an asset is an item, thing or entity that has potential or actual value to an organization.","[""Industry"",""Enterprise Architecture""]","[""BIM - Management""]","BIM Exchange Information Requirements","Abel Maciel",,"Approved",,,"36","A"
"Asset Breakdown Structure","[""Definition""]","ABS","A structure that describes how individual assets, or systems, are formed of individual element or components.","[""Industry""]",,,,,"Approved",,,"38","A"
"Asset Classification Structure","[""Definition""]","ACS","The structure by which assets and systems are classified.  This is analogous to classification of species in the natural world.
Note that assets may be classified by mutliple methodologies e.g. type, function, etc.","[""Industry""]",,,,,"Approved",,,"39","A"
"Asset Data Dictionary","[""Definition""]","ADD","Specifies the asset classes and related attributes required for the asset information deliverables. Within EWR Co this information is managed within the AIMS system and is available in machine readable format (XML web services) and document format (PDF). Please note AIMS system under construction within CDE.","[""Industry""]",,,,,"Approved",,,"40","A"
"Asset Information Management System","[""Definition"",""Acronym""]","AIMS","The system which EWR Co manages it's asset information.  It includes the management of the information specifications, and provide delivery mechanisms to and from remote systems.
This may colloquially be referred to as the Asset Register.","[""Industry""]","[""Asset Information Management System""]","Asset Engineering Management","Harshed Bhudia",,"Approved",,,"41","A"
